NAME,MEANING
alleviate,relieve
ameliorate,improve
analogous,comparable
apprise,inform
assiduous,diligent
contentious,quarrelsome
craven,cowardly
denigrate,blacken
diffidence,shyness
disinterested,unprejudiced
disparage,belittle
gainsay,deny
gregarious,sociable
immutable,unchangeable
innocuous,harmless
invective,abuse
mollify,soothe
obdurate,stubborn
onerous,burdensome
paucity,scarcity
precursor,forerunner
prevaricate,lie
propitiate,appease
rescind,cancel
salubrious,healthful
venerate,revere
abash,embarrass
abbreviate,shorten
ablution,washing
abrogate,abolish
abysmal,bottomless
accede,agree
accord,agreement
acetic,vinegary
actuate,motivate
acuity,sharpness
adroit,skillful
advent,arrival
affinity,kinship
agape,openmouthed
aggressor,attacker
agility,nimbleness
allegiance,loyalty
allocate,assign
aloft,upward
amass,collect
amity,friendship
amnesty,pardon
amoral,nonmoral
ample,abundant
annihilate,destroy
anoint,consecrate
antecede,precede
apothecary,druggist
append,attach
archaic,antiquated
argot,slang
aromatic,fragrant
arroyo,gully
asinine,stupid
assail,assault
bacchanalian,drunken
bard,poet
barterer,trader
begrudge,resent
belated,delayed
benediction,blessing
benison,blessing
berserk,frenzied
bestow,confer
bicker,quarrel
blandishment,flattery
bowdlerize,expurgate
braggadocio,boasting
braggart,boaster
brazen,insolent
brevity,conciseness
brochure,pamphlet
buccaneer,pirate
buffoonery,clowning
capacious,spacious
capitulate,surrender
caprice,whim
captious,faultfinding
cardinal,chief
carnal,fleshly
celestial,heavenly
censorious,critical
cerebration,thought
certitude,certainty
chasm,abyss
chastise,punish
chide,scold
citadel,fortress
clandestine,secret
clavicle,collarbone
cognizance,knowledge
coiffure,hairstyle
colossal,huge
compunction,remorse
concave,hollow
concord,harmony
concur,agree
consanguinity,kinship
constituent,supporter
contagion,infection
contaminate,pollute
contest,dispute
contusion,bruise
convene,assemble
conversant,familiar
converse,opposite
copious,plentiful
courier,messenger
covenant,agreement
credence,belief
credo,creed
crone,hag
cupidity,greed
dank,damp
dappled,spotted
dauntless,bold
dearth,scarcity
debris,rubble
decadence,decay
decapitate,behead
decipher,decode
decomposition,decay
defection,desertion
deleterious,harmful
delude,deceive
demise,death
depict,portray
deplore,regret
depredation,plundering
deranged,insane
despoil,plunder
detonation,explosion
devoid,lacking
devout,pious
dexterous,skillful
diabolical,devilish
diadem,crown
dilate,expand
dilatory,delaying
dire,disastrous
disaffected,disloyal
disconsolate,sad
discount,disregard
dishearten,discourage
disheveled,untidy
disinclination,unwillingness
disport,amuse
distrait,absentminded
diurnal,daily
divulge,reveal
dolorous,sorrowful
dotage,senility
dumbfound,astonish
eerie,weird
effigy,dummy
egress,exit
ejaculation,exclamation
embezzlement,stealing
encompass,surround
encumber,burden
ennui,boredom
ensue,follow
equilibrium,balance
errant,wandering
eschew,avoid
espionage,spying
eulogistic,praising
exasperate,vex
exceptionable,objectionable
exchequer,treasury
exodus,departure
exorbitant,excessive
expedite,hasten
exult,rejoice
facsimile,copy
falter,hesitate
feasible,practical
febrile,feverish
feign,pretend
fervid,ardent
fetid,malodorous
fetter,shackle
fiat,command
fictitious,imaginary
fidelity,loyalty
filch,steal
finale,conclusion
fissure,crevice
flaccid,flabby
flair,talent
flamboyant,ornate
fleck,spot
finite,limited
fluster,confuse
foolhardy,rash
foray,raid
forbearance,patience
forebears,ancestors
fractious,unruly
frantic,wild
fraught,filled
fray,brawl
fritter,waste
functionary,official
ghastly,horrible
gibe,mock
gist,essence
glower,scowl
gnarled,twisted
gratify,please
gratuity,tip
grisly,ghastly
grueling,exhausting
gusty,windy
hale,healthy
hallucination,delusion
hamper,obstruct
hapless,unfortunate
harbinger,forerunner
hazardous,dangerous
hibernal,wintry
hirsute,hairy
hone,sharpen
horde,crowd
humid,damp
illicit,illegal
illimitable,infinite
illusive,deceiving
impale,pierce
impeccable,faultless
impious,irreverent
imponderable,weightless
import,significance
imprecation,curse
impregnable,invulnerable
inanimate,lifeless
incapacitate,disable
incarcerate,imprison
incorrigible,uncorrectable
increment,increase
inculcate,teach
indefatigable,tireless
indigenous,native
indissoluble,permanent
inerrancy,infallibility
inevitable,unavoidable
infallible,unerring
infidel,unbeliever
infirmity,weakness
injurious,harmful
inkling,hint
innate,inborn
interim,meantime
interloper,intruder
interminable,endless
intimate,hint
intrepid,fearless
inverse,opposite
invincible,unconquerable
irate,angry
jocund,merry
jubilation,rejoicing
kismet,fate
labyrinth,maze
lackluster,dull
larceny,theft
lascivious,lustful
lax,careless
lethal,deadly
lewd,lustful
lexicon,dictionary
libidinous,lustful
limber,flexible
limpid,clear
low,moo
lucrative,profitable
lucre,money
lugubrious,mournful
lustrous,shining
maelstrom,whirlpool
malady,illness
malediction,curse
malfeasance,wrongdoing
mandatory,obligatory
martial,warlike
masticate,chew
